id_grupo,id_grupo,Rendimiento,P24A,P24B,P24C,P24D,P24E,P24F,P24G,P24H,P25A,P25B,P25C,P25D,P25E,P25F,P30A,P30B,P30C,P30D,P30E,TITULAR,PP02_edad,PP04_antigdad,PP05_en_centro,PP10_retutor
1000,1000,13.040047664908652,3.0555555555555554,2.4444444444444446,3.0555555555555554,3.235294117647059,2.2222222222222223,3.388888888888889,3.2222222222222223,1.7647058823529411,3.4444444444444446,2.3333333333333335,1.8888888888888888,1.2222222222222223,2.0,1.8823529411764706,2.111111111111111,2.2777777777777777,2.3333333333333335,2.5555555555555554,2.25,2,2.0,2.0,2.0,2.0
2001,2001,58.55367823644502,2.65,2.45,2.0,3.05,1.55,3.8,3.35,2.15,3.4,1.9,2.45,1.5,2.2,1.8,1.85,2.3,2.4,2.35,2.55,2,3.0,6.0,1.0,2.0
2002,2002,33.28198998261549,2.8,2.72,2.52,3.32,1.96,3.52,3.12,2.0833333333333335,3.56,2.0,2.24,1.36,1.8333333333333333,2.0,2.16,2.64,2.28,2.56,2.44,2,1.0,1.0,1.0,1.0
3000,3000,22.88069573894677,2.9583333333333335,2.3333333333333335,2.5,2.75,1.7916666666666667,3.6666666666666665,2.782608695652174,2.652173913043478,3.375,2.125,2.5,1.75,2.3636363636363638,1.7826086956521738,1.7826086956521738,2.1739130434782608,2.0,2.608695652173913,2.5,1,3.0,5.0,5.0,1.0
4000,4000,-64.55669245311348,3.6666666666666665,2.4545454545454546,3.1666666666666665,2.3,1.8333333333333333,3.3333333333333335,2.8333333333333335,2.25,3.3,1.9,1.7,1.6,2.3,2.7,2.5555555555555554,2.5555555555555554,2.4444444444444446,2.6666666666666665,2.5555555555555554,1,2.0,3.0,2.0,2.0
6001,6001,-55.89355317837002,2.5,2.1666666666666665,2.130434782608696,2.7916666666666665,2.9583333333333335,2.9583333333333335,3.1666666666666665,2.125,3.3333333333333335,2.4583333333333335,2.625,1.5833333333333333,1.625,2.1666666666666665,2.7083333333333335,2.4583333333333335,2.7916666666666665,2.5,2.375,2,4.0,5.0,7.0,2.0
6002,6002,-56.959622371245,2.3636363636363638,2.4285714285714284,2.0,2.3636363636363638,1.5,3.5,3.090909090909091,2.0454545454545454,3.4347826086956523,2.0,1.9565217391304348,1.1304347826086956,1.3181818181818181,1.9565217391304348,2.090909090909091,2.0,1.6956521739130435,2.6956521739130435,2.2857142857142856,2,4.0,7.0,7.0,2.0
7001,7001,40.812577840764696,3.2,2.32,2.25,2.92,2.16,3.84,3.48,1.76,4.0,2.8,2.08,1.48,1.72,2.16,2.96,2.96,3.0,3.0,2.48,2,4.0,7.0,7.0,2.0
7002,7002,18.604831669458097,2.7916666666666665,2.4166666666666665,2.0454545454545454,3.3181818181818183,2.130434782608696,3.090909090909091,2.9130434782608696,1.8695652173913044,3.6538461538461537,2.076923076923077,2.576923076923077,1.4,1.6923076923076923,2.0384615384615383,2.076923076923077,2.3461538461538463,2.3846153846153846,2.3076923076923075,2.3076923076923075,2,9.0,9.0,9.0,2.0
9001,9001,15.092236978689028,2.6363636363636362,1.9090909090909092,2.3636363636363638,2.9545454545454546,1.35,3.727272727272727,3.5454545454545454,1.5909090909090908,3.590909090909091,1.9545454545454546,1.3636363636363635,1.0,1.5,1.5,2.6363636363636362,2.0,1.8095238095238095,2.6363636363636362,2.272727272727273,1,3.0,5.0,1.0,2.0
